client,rank,Score_100,z_score,evidence_dims,S_network,S_motif,S_conc,S_sync,driving_dims,exclusion_rationale
48001,13,44.22,5.2519801434076365,4,0.0053634792995629664,0.5952860477922939,0.6766936044951788,0.46573906334128495,Mot+Conc+Sync,Ranked 13 — displaced by 12 higher-priority entities with broader corroboration | Weak dimensions: Network
M15SD005,14,44.13,5.236548216473824,3,0.0002053225232169061,0.40945545316260057,0.9999960276419657,0.34201064245431184,Mot+Conc,"Ranked 14 — displaced by 12 higher-priority entities with broader corroboration | Weak dimensions: Network, Sync"
Q105233,15,44.08,5.227974923732815,3,0.00010982458539068601,0.40945545316260057,0.9999960276394657,0.3397896764875795,Mot+Conc,"Ranked 15 — displaced by 12 higher-priority entities with broader corroboration | Weak dimensions: Network, Sync"
Y2AA001,16,43.66,5.155959264708351,3,0.04197237414237583,0.6260450745188604,0.6542056223555219,0.37358304633629336,Mot+Conc,"Ranked 16 — displaced by 12 higher-priority entities with broader corroboration | Weak dimensions: Network, Sync"
98767,17,43.28,5.090802239876695,3,0.011090743992166713,0.5661506062849181,0.6503899539405807,0.4877972797625182,Mot+Conc+Sync,Ranked 17 — displaced by 12 higher-priority entities with broader corroboration | Weak dimensions: Network
U6101,18,43.16,5.070226337298276,3,0.039843114715844834,0.569393423648821,0.6753519477234546,0.4098090688071087,Mot+Conc+Sync,Ranked 18 — displaced by 12 higher-priority entities with broader corroboration | Weak dimensions: Network
J18RJK09,19,42.61,4.975920117147194,4,0.031320445810447996,0.5512058529152746,0.6796216074223113,0.4148750423532134,Mot+Conc+Sync,Ranked 19 — displaced by 12 higher-priority entities with broader corroboration | Weak dimensions: Network
3012,20,42.6,4.974205458598992,4,0.03835210819352165,0.538229324305203,0.7119176325293503,0.3848438893530541,Mot+Conc,"Ranked 20 — displaced by 12 higher-priority entities with broader corroboration | Weak dimensions: Network, Sync"
X31000,21,42.31,4.924480360701148,4,0.00839064865534154,0.5114645358442205,0.7296586421636935,0.42564643917859035,Mot+Conc+Sync,Ranked 21 — displaced by 12 higher-priority entities with broader corroboration | Weak dimensions: Network
50S54,22,42.27,4.917621726508342,3,0.010992606711215599,0.5370984770587475,0.6665133275180748,0.4607623059370788,Mot+Conc+Sync,Ranked 22 — displaced by 12 higher-priority entities with broader corroboration | Weak dimensions: Network
93N498,23,42.22,4.909048433767334,4,0.0018858686735978355,0.5589109063252011,0.7540158116951472,0.327941983894832,Mot+Conc,"Ranked 23 — displaced by 12 higher-priority entities with broader corroboration | Weak dimensions: Network, Sync"
H20TFAC17,24,42.15,4.897045823929924,3,0.0021919789639549135,0.5514645358442204,0.660076311764499,0.45240843393262775,Mot+Conc+Sync,Ranked 24 — displaced by 12 higher-priority entities with broader corroboration | Weak dimensions: Network
73531,25,42.07,4.8833285555443116,3,0.014452149928735107,0.5068440492075036,0.6694980351350552,0.4884431141879544,Mot+Conc+Sync,Ranked 25 — displaced by 12 higher-priority entities with broader corroboration | Weak dimensions: Network
8MA200,1463,25.25,1.9992728774693644,2,0.0036205352952930017,0.40945545316260057,0.5150409583500826,0.0,Mot+Conc,"Score 25.2 falls 0.0 pts below μ+2σ escalation bar (25.3) | Weak dimensions: Network, Sync"
60K005,1464,25.25,1.9992728774693644,2,0.0025509121420528927,0.4630225372594301,0.4516502336376732,0.0,Mot+Conc,"Score 25.2 falls 0.0 pts below μ+2σ escalation bar (25.3) | Weak dimensions: Network, Sync"
