client,S_network,betweenness,pagerank,in_degree,recip_node,S_motif,loop_count,max_severity,persist_days,mechanisms,S_conc,hhi,reciprocity_ratio,wash_rate,total_cp,S_sync,sync_pair_events,rapid_fire,in_sync_loop,S_composite,S_geo,evidence_dims,in_s1_trade,in_s1_order,in_any_loop,Score_100,z_score,Risk_Tier,rank,escalate,esc_rank,classification,primary_evidence,confidence,structural_proof,s1_flags
L16WN,0.999999999999,0.37075860980070197,0.23020059004777554,0.5665124584043503,0.48287778825007854,1.0,2720.0,3.0,5.0,Circular Trading | Infrastructure-Linked,0.5137895659946102,0.0663429842289498,0.9921032715306084,0.1,37762.0,0.9999999999999505,24946728,96040,1,0.878447,0.9999999999988188,3,True,True,True,87.84,12.731320730662642,CRITICAL,1,True,1,CRITICAL,Motif Participation (Loops),HIGH,"2720 loops (sev=3, persist=5d) [Circular Trading | Infrastructure-Linked] | Betweenness=0.3708, PageRank=0.23020, InDeg=0.5665 | HHI=0.066, Reciprocity=0.992, WashRate=0.100 | SyncPairs=24946728, RapidFire=96040, InSyncLoop=1",S1-Trade+S1-Order+Loop
7120,0.15372253574521372,0.08299308373688208,0.007108526948839699,0.04109514920325731,0.08040993299172251,0.8005270961176436,115.0,3.0,5.0,Circular Trading | Infrastructure-Linked,0.6620749328859992,0.10058592180891572,0.9797795151583236,0.1,2743.0,0.9042073713728258,6231912,8560,1,0.624949,0.6153470272903516,3,True,False,True,62.49,8.384661310971804,HIGH,2,True,2,HIGH,Temporal Synchronisation,HIGH,"115 loops (sev=3, persist=5d) [Circular Trading | Infrastructure-Linked] | HHI=0.101, Reciprocity=0.980, WashRate=0.100 | SyncPairs=6231912, RapidFire=8560, InSyncLoop=1",S1-Trade+Loop
K17329,0.2954221672527655,0.08407292335718199,0.022306610049036814,0.0991802613424235,0.11445086705202312,0.723525762463473,228.0,3.0,2.0,Circular Trading,0.6508291161291666,0.08881711485309575,0.9999999999999969,0.1,5786.0,0.4921616549687585,582520,990,0,0.552053,0.6041786108095062,3,True,False,True,55.21,7.136389887881102,HIGH,3,True,3,HIGH,Motif Participation (Loops),HIGH,"228 loops (sev=3, persist=2d) [Circular Trading] | HHI=0.089, Reciprocity=1.000, WashRate=0.100 | SyncPairs=582520, RapidFire=990, InSyncLoop=0",S1-Trade+Loop
P11005,0.024677450027469124,0.0071566124550861785,0.0009795037513019552,0.005302599897194491,0.043243243243243246,0.7420508362532765,45.0,3.0,5.0,Circular Trading | Infrastructure-Linked,0.7011801145201104,0.19227728417018689,0.9674837418708749,0.1,388.0,0.6010105994001558,5213876,8891,0,0.524282,0.3500665147782536,4,True,False,True,52.43,6.659714811481081,HIGH,4,True,4,HIGH,Motif Participation (Loops),HIGH,"45 loops (sev=3, persist=5d) [Circular Trading | Infrastructure-Linked] | HHI=0.192, Reciprocity=0.967, WashRate=0.100 | SyncPairs=5213876, RapidFire=8891, InSyncLoop=0",S1-Trade+Loop
4268,0.0019387409686010596,0.0,6.33485153847143e-05,5.410816221627032e-05,0.25,0.641052977172258,32.0,3.0,3.0,Circular Trading | Infrastructure-Linked,0.9094182619286597,0.7470129601077286,0.999999999999002,0.1,5.0,0.5018846639279338,722204,1184,0,0.520532,0.18228854272940817,4,True,False,True,52.05,6.594557786649422,HIGH,5,True,5,HIGH,Counterparty Concentration,HIGH,"32 loops (sev=3, persist=3d) [Circular Trading | Infrastructure-Linked] | HHI=0.747, Reciprocity=1.000, WashRate=0.100 | SyncPairs=722204, RapidFire=1184, InSyncLoop=0",S1-Trade+Loop
0399,0.03893529162022383,0.008400179205262827,0.002031586670312061,0.008738468197927656,0.03051643192488263,0.686761825631305,67.0,3.0,3.0,Circular Trading | Infrastructure-Linked,0.7221443807641037,0.2286971087962963,0.9999999999999724,0.1,439.0,0.49213703574087564,622328,932,0,0.494726,0.36876863829100237,4,True,False,True,49.47,6.152175881213431,MEDIUM,6,True,6,HIGH,Counterparty Concentration,HIGH,"67 loops (sev=3, persist=3d) [Circular Trading | Infrastructure-Linked] | HHI=0.229, Reciprocity=1.000, WashRate=0.100 | SyncPairs=622328, RapidFire=932, InSyncLoop=0",S1-Trade+Loop
W4D131,0.008039645259867334,0.008248636025199072,0.0003951941849726838,0.0035981927873819765,0.16216216216216217,0.6328840722214967,28.0,3.0,3.0,Circular Trading | Infrastructure-Linked,0.6531855691521637,0.034081007977111874,0.9999999999998557,0.1,260.0,0.6101084892357214,7518640,9063,0,0.477193,0.25063282616123694,3,True,False,True,47.72,5.852110635278167,MEDIUM,7,True,7,HIGH,Counterparty Concentration,HIGH,"28 loops (sev=3, persist=3d) [Circular Trading | Infrastructure-Linked] | HHI=0.034, Reciprocity=1.000, WashRate=0.100 | SyncPairs=7518640, RapidFire=9063, InSyncLoop=0",S1-Trade+Loop
M15IR,0.008480098677899601,0.00344688534855285,0.0010513851224853619,0.005113221329437545,0.0735632183908046,0.6562995023701041,41.0,3.0,3.0,Circular Trading | Infrastructure-Linked,0.6481409390613435,0.022308460926524946,0.9999999999999162,0.1,469.0,0.5585785205248393,1041648,7454,0,0.472761,0.250236229992758,3,True,False,True,47.28,5.7766656591573,MEDIUM,8,True,8,HIGH,Motif Participation (Loops),HIGH,"41 loops (sev=3, persist=3d) [Circular Trading | Infrastructure-Linked] | HHI=0.022, Reciprocity=1.000, WashRate=0.100 | SyncPairs=1041648, RapidFire=7454, InSyncLoop=0",S1-Trade+Loop
94721,0.04729329611407168,0.00824542133467259,0.003032904948947496,0.013662310959608256,0.05110336817653891,0.6029403136832316,33.0,3.0,2.0,Circular Trading | Infrastructure-Linked,0.6788012117228845,0.11279302602100245,0.9999999999999782,0.1,905.0,0.5474500081680895,1383120,3775,0,0.471896,0.3789479533703529,4,True,False,True,47.19,5.761233732223486,MEDIUM,9,True,9,HIGH,Counterparty Concentration,HIGH,"33 loops (sev=3, persist=2d) [Circular Trading | Infrastructure-Linked] | HHI=0.113, Reciprocity=1.000, WashRate=0.100 | SyncPairs=1383120, RapidFire=3775, InSyncLoop=0",S1-Trade+Loop
91N32,0.0010211299321704539,0.0,4.46988484357857e-05,8.116224332440549e-05,0.3333333333333333,0.5754190359577309,21.0,3.0,2.0,Circular Trading | Infrastructure-Linked,0.8920642176066552,0.6985250000000001,0.999999999999,0.1,4.0,0.3576375980272657,36824,68,0,0.467425,0.13822060810218045,4,True,False,True,46.74,5.6840740975544195,MEDIUM,10,True,10,HIGH,Counterparty Concentration,HIGH,"21 loops (sev=3, persist=2d) [Circular Trading | Infrastructure-Linked] | HHI=0.699, Reciprocity=1.000, WashRate=0.100 | SyncPairs=36824, RapidFire=68, InSyncLoop=0",S1-Trade+Loop
K17CSH012,0.0009591572128573126,9.667586530310408e-05,0.00011080572078167257,0.0004869734599464329,0.029411764705882353,0.42764302389614695,3.0,3.0,1.0,Circular Trading | Infrastructure-Linked,0.8056512651710976,0.45748266666666665,0.9999999999993333,0.1,35.0,0.6210226736893301,22016,26,1,0.45415,0.14138767836541824,4,True,False,True,45.42,5.457739169191819,MEDIUM,11,True,11,HIGH,Counterparty Concentration,HIGH,"3 loops (sev=3, persist=1d) [Circular Trading | Infrastructure-Linked] | HHI=0.457, Reciprocity=1.000, WashRate=0.100 | SyncPairs=22016, RapidFire=26, InSyncLoop=1",S1-Trade+Loop
